influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
3,76,115,47,9,123,130,55,40,30,14,5,2,97,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,77,96,186,58,127,136,64,29,53,94,6,6,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,78,152,139,80,129,139,70,26,78,62,7,7,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,79,159,112,52,133,118,64,29,66,46,9,12,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,80,81,170,38,117,130,61,28,38,62,7,8,37,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,81,152,101,30,122,131,64,43,53,23,11,12,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,82,190,66,46,131,126,65,29,80,26,9,8,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,83,170,89,36,126,137,62,27,73,38,9,9,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,84,93,158,33,120,130,65,34,40,58,8,12,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,85,177,117,72,124,140,77,32,70,50,8,10,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,86,188,75,55,130,119,62,32,84,37,8,10,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,87,178,76,40,133,126,71,24,79,31,6,7,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,88,194,80,48,130,128,78,40,77,36,5,9,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,89,160,112,53,128,130,61,32,60,38,11,9,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,90,173,91,46,134,124,68,29,70,34,8,10,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,91,6,181,0,129,127,62,37,5,59,1,18,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,92,69,154,29,122,107,49,30,27,54,10,9,56,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,93,162,129,67,133,129,63,26,91,59,6,5,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,94,155,128,60,132,138,77,26,65,48,8,9,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,95,196,24,9,139,123,62,39,52,14,18,6,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,96,164,58,20,126,137,71,24,67,26,8,8,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,97,180,112,70,129,141,63,22,91,52,7,9,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,98,161,93,38,141,122,68,30,67,37,7,11,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,99,106,147,33,133,123,64,31,28,65,9,8,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,100,141,143,60,131,145,74,36,50,64,11,9,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,101,126,66,13,126,133,65,33,51,33,10,5,71,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,102,101,153,45,136,129,73,27,37,60,12,10,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,103,182,114,70,145,130,74,29,79,53,8,7,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,104,58,202,39,126,125,55,33,28,77,8,6,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,105,161,96,36,129,138,69,22,72,43,7,7,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
