num_nodes	n_groups	influencer_appearance	Run	Bored_A	Bored_B	Bored_both	Interest_A	Interest_B	Interest_both	Num_steps	Peak_A	Peak_B	Step_peak_A	Step_peak_B	Susceptible	initial_viral_size_A	initial_viral_size_B	meme_spread_chance	maybe_bored	influencer_spread_chance	interest_meme_A_chance	interest_meme_B_chance
100	2	5	20	46	45	11	61	57	32	22	21	20	3	5	20	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	21	70	15	4	56	46	27	26	37	7	4	1	19	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	22	30	32	11	53	48	25	23	13	17	5	3	49	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	23	5	56	1	58	50	32	30	5	16	1	3	40	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	24	46	39	1	45	54	22	29	28	13	3	9	16	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	25	70	47	33	51	49	28	17	42	25	5	5	16	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	26	40	64	22	46	49	22	34	14	33	11	4	18	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	27	56	43	16	52	58	36	38	16	16	6	9	17	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	28	44	46	10	57	49	28	20	23	18	8	6	20	5	5	0.3	0.3	0.6	0.5	0.5
100	2	5	29	43	25	14	52	65	33	18	22	12	3	5	46	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	30	64	66	35	54	61	31	18	33	38	5	5	5	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	31	63	31	15	51	49	26	24	32	17	6	6	21	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	32	35	66	24	53	47	23	29	18	31	5	4	23	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	33	41	37	5	55	39	23	25	20	14	4	5	27	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	34	55	56	25	62	51	31	19	22	28	6	4	14	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	35	70	33	15	53	49	27	24	39	14	5	8	12	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	36	33	46	8	42	55	18	23	16	25	4	4	29	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	37	73	40	26	58	53	31	22	28	21	8	5	13	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	38	35	46	4	50	47	25	25	18	16	7	14	23	5	5	0.3	0.3	0.6	0.5	0.5
100	2	7	39	56	57	27	54	57	33	25	28	30	8	8	14	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	40	17	25	2	44	44	18	20	11	16	2	3	60	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	41	46	31	10	57	53	30	15	24	18	8	5	33	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	42	12	38	1	56	61	35	20	8	13	5	11	51	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	43	19	52	5	55	54	31	27	9	20	8	4	34	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	44	34	29	9	44	51	21	20	12	16	2	3	46	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	45	17	36	5	51	52	26	16	10	21	4	5	52	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	46	37	8	0	53	50	28	19	19	7	6	1	55	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	47	46	21	5	50	56	25	23	24	10	4	11	38	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	48	29	45	15	52	50	25	24	14	25	3	4	41	5	5	0.3	0.3	0.6	0.5	0.5
100	3	1	49	35	18	6	52	52	30	27	11	8	9	18	53	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	50	24	25	7	58	53	31	15	17	14	4	2	58	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	51	15	33	7	58	52	26	23	8	21	2	3	59	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	52	55	19	11	58	48	28	23	24	12	7	3	37	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	53	48	61	28	53	61	33	19	28	31	3	7	19	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	54	33	32	13	51	49	20	23	15	17	6	5	48	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	55	13	14	4	55	48	27	13	7	12	2	2	77	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	56	41	53	18	49	59	30	25	17	24	6	4	24	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	57	40	28	3	60	57	37	30	21	11	7	8	35	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	58	6	34	0	51	52	23	18	5	16	1	8	60	5	5	0.3	0.3	0.6	0.5	0.5
100	3	3	59	32	41	9	55	53	28	26	23	12	4	2	36	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	60	44	8	0	52	56	31	21	20	6	9	1	48	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	61	9	8	1	48	50	27	13	5	7	1	1	84	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	62	39	12	0	56	62	35	35	14	8	3	3	49	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	63	5	40	1	51	57	25	19	5	19	1	5	56	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	64	69	6	3	51	57	28	23	25	5	6	1	28	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	65	14	51	0	53	57	30	26	11	18	3	12	35	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	66	30	7	0	46	53	25	33	13	6	3	3	63	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	67	48	8	3	56	58	28	18	28	5	5	1	47	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	68	19	34	8	55	49	29	17	12	17	7	2	55	5	5	0.3	0.3	0.6	0.5	0.5
100	3	5	69	41	14	8	57	41	20	14	22	10	4	3	53	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	70	30	8	1	52	55	31	33	13	7	10	1	63	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	71	14	27	2	47	45	20	20	8	16	2	4	61	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	72	33	24	4	57	46	23	24	18	14	6	3	47	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	73	48	21	7	50	57	29	23	27	9	6	9	38	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	74	17	51	5	52	59	28	29	10	14	6	10	37	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	75	32	28	6	52	54	29	20	15	19	4	4	46	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	76	15	44	6	54	54	30	18	10	27	4	3	47	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	77	6	35	2	48	62	29	25	5	20	1	3	61	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	78	31	34	2	56	49	26	22	15	12	4	11	37	5	5	0.3	0.3	0.6	0.5	0.5
100	3	7	79	8	11	3	49	57	26	14	7	9	2	1	84	5	5	0.3	0.3	0.6	0.5	0.5
100	5	1	80	13	8	1	50	48	25	15	8	6	6	1	80	5	5	0.3	0.3	0.6	0.5	0.5
100	5	1	81	9	15	1	53	60	30	14	7	8	1	2	77	5	5	0.3	0.3	0.6	0.5	0.5
